bin_order,00000356_000_ReR8_thickened_thickened_trimmed_rot90cw_crop-stencil_intersections_LCPC-data_fft-output_AllBins.csv,00000390_001_ReR5_thickened_thickened_trimmed_rot90cw_crop-stencil_intersections_LCPC-data_fft-output_AllBins.csv,00000716_001_ReR3_thickened_thickened_trimmed_rot90cw_crop-stencil_intersections_LCPC-data_fft-output_AllBins.csv,00001437_008_ReR8_thickened_thickened_trimmed_rot90cw_crop-stencil_intersections_LCPC-data_fft-output_AllBins.csv
1,55464.0,22883.0,39266.0,30344.0
2,8369.722332432402,1581.6354154185374,7210.111175835145,2928.4030578381908
3,3462.989060098257,4731.83682703897,6609.413660496537,2215.3944400046607
4,1828.709361915935,724.7991676535493,1579.3849074711122,2285.1490674924908
5,1808.521619528009,1226.5340493664078,2457.438631173795,1392.2648075706993
6,3658.052004631107,603.626056904304,1738.7806066080818,1429.51827469007
7,3442.702420650008,555.6509606557452,484.0394870352091,1590.9185095833548
8,3688.410900738437,765.7131390203951,1771.175983610323,1100.5195701824198
9,1560.0366511317727,536.5184645080313,764.2684645649396,1374.912899850135
10,2214.8166008931453,955.0109304945026,1298.8030647063763,509.5460101593628
11,2345.738272801342,216.6697656242259,472.3027278246767,706.0021382043982
12,2633.1023866078335,535.3470733804855,828.5439089283499,653.058914868155
13,875.0589648968929,981.7670256286232,458.7577940237466,1124.3372141968027
14,804.7962475061624,548.3037479353939,1470.29486838525,866.606081716124
15,779.2107011384835,352.0411269346042,1065.442762436014,1455.1367464692637
16,505.2352993075736,591.7674689974656,1486.8015628714477,184.903417271803
17,970.5109832485338,761.8452326162779,878.4523968177024,1208.878003053537
18,764.4630725982887,667.0165410270255,926.2254533318572,844.7783913830125
19,1373.8953651559702,130.80619401925415,326.4724848528325,484.3568557210808
20,1286.6746107003926,641.9466968490457,621.7099914859167,1468.5874489049977
21,823.0063894364948,797.1168508655111,436.2663793371947,1244.01125887063
22,1511.6643209784309,298.95706322159594,812.587151892062,100.98358492373924
23,1497.5584408807497,512.0333514681172,437.954034287028,944.9072112652844
24,825.4031657026791,585.9637377252043,493.2999806831465,1013.160108762894
25,1200.1130005404552,264.7441318027881,127.49263052597,629.5087312445662
26,771.0547639604378,471.5584082353332,118.44714185605292,70.38754222530267
27,1068.801665417864,363.0716182793692,389.1927543004877,1314.2252568913511
28,951.6893909811378,145.2195341400542,519.0980177737692,1674.1690916569753
29,745.882449976874,488.2490988389859,367.5176706805623,493.5088397609944
30,1608.585167033445,357.0155728690173,432.170913975792,1593.2314420384157
31,1064.6496628243258,254.36470532016355,161.61214577254444,1574.514386660319
32,397.21599741820177,576.1069016349543,252.8592596047456,532.672244408124
33,597.929500948513,434.4109818576498,445.530106295779,439.7790443641269
34,606.0041832838351,171.91716928551324,566.587499269179,1271.618530677538
35,1290.9887934162316,466.207621074951,487.4933080720935,1695.9059161076834
36,539.4515696587163,485.4096928514141,594.8143601830411,1575.4766124870876
37,731.0904580070298,116.72359778658664,229.72792940244673,1016.0977252273248
38,871.7829408590874,142.71153657836814,417.14425902430594,200.43349025493904
39,565.808143883188,254.81846055960625,160.98528856254384,1116.5378924769232
40,36.00000000000006,220.99999999999983,216.00000000000037,583.848973985642
41,565.8081438831882,254.818460559606,160.98528856254404,583.848973985642
42,871.7829408590873,142.7115365783682,417.1442590243057,1116.5378924769232
43,731.0904580070298,116.72359778658664,229.72792940244673,200.43349025493904
44,539.4515696587156,485.4096928514141,594.8143601830411,1016.0977252273248
45,1290.9887934162314,466.2076210749512,487.4933080720936,1575.4766124870876
46,606.0041832838349,171.91716928551324,566.587499269179,1695.9059161076834
47,597.9295009485131,434.41098185764974,445.5301062957789,1271.618530677538
48,397.2159974182021,576.1069016349542,252.85925960474563,439.7790443641269
